ID,Name,Position,ADP,Team
830517,Christian McCaffrey,RB,1.2843014,SF
823156,Tyreek Hill,WR,2.2975693,MIA
1062020,CeeDee Lamb,WR,3.1373508,DAL
1127106,Amon-Ra St. Brown,WR,4.8442082,DET
1109979,Ja'Marr Chase,WR,5.21646,CIN
1069535,Justin Jefferson,WR,6.3070164,MIN
1228244,Bijan Robinson,RB,6.812595,ATL
1162537,Breece Hall,RB,7.191793,NYJ
944826,A.J. Brown,WR,9.109231,PHI
1164889,Garrett Wilson,WR,10.215535,NYJ
1162128,Puka Nacua,WR,12.408298,LAR
1287828,Marvin Harrison Jr.,WR,13.367641,ARI
883302,Saquon Barkley,RB,14.247274,PHI
1214154,Jahmyr Gibbs,RB,14.680133,DET
1065406,Jonathan Taylor,RB,14.683426,IND
1178741,Drake London,WR,17.002934,ATL
835749,Deebo Samuel Sr.,WR,17.704725,SF
698227,Cooper Kupp,WR,18.651234,LAR
1074698,Nico Collins,WR,19.255526,HOU
1231820,De'Von Achane,RB,19.946758,MIA
1167361,Kyren Williams,RB,21.462652,LAR
611417,Davante Adams,WR,21.663404,LV
732145,Derrick Henry,RB,23.043007,BAL
1122592,Chris Olave,WR,23.956263,NO
1125749,Jaylen Waddle,WR,26.20356,MIA
593587,Mike Evans,WR,26.337898,TB
1286059,Malik Nabers,WR,28.081802,NYG
1060262,DeVonta Smith,WR,28.661335,PHI
448240,Travis Kelce,TE,29.847757,KC
978577,Travis Etienne Jr.,RB,30.356167,JAX
1106832,Isiah Pacheco,RB,30.539078,KC
877790,DJ Moore,WR,31.854765,CHI
1107034,Brandon Aiyuk,WR,32.56018,SF
945633,DK Metcalf,WR,34.10401,SEA
868199,Josh Allen,QB,35.975765,BUF
911348,Michael Pittman Jr.,WR,36.032135,IND
1168926,Sam LaPorta,TE,38.0584,DET
694041,Stefon Diggs,WR,39.014965,HOU
913271,Jalen Hurts,QB,39.91317,PHI
1128222,Tank Dell,WR,41.01405,HOU
839031,Patrick Mahomes,QB,41.14932,KC
944416,Josh Jacobs,RB,41.838036,GB
1177053,Zay Flowers,WR,42.783546,BAL
877745,Lamar Jackson,QB,45.016777,BAL
650914,Amari Cooper,WR,46.00077,CLE
1108161,Trey McBride,TE,46.496204,ARI
1131012,James Cook,RB,47.211227,BUF
1173538,Rashee Rice,WR,48.341167,KC
978579,Tee Higgins,WR,48.872284,CIN
1172053,George Pickens,WR,49.979057,PIT
1229343,Rachaad White,RB,50.452354,TB
1135513,Dalton Kincaid,TE,52.271423,BUF
865801,Christian Kirk,WR,54.499416,JAX
820699,Mark Andrews,TE,54.65451,BAL
836116,Terry McLaurin,WR,55.310246,WAS
750846,Alvin Kamara,RB,57.15792,NO
820727,Joe Mixon,RB,57.314514,HOU
1214084,C.J. Stroud,QB,57.512165,HOU
557210,Keenan Allen,WR,59.511196,CHI
1164402,Kenneth Walker III,RB,59.62396,SEA
884013,Calvin Ridley,WR,61.904106,TEN
1215022,Anthony Richardson,QB,62.288532,IND
1123026,Kyle Pitts,TE,64.0488,ATL
946739,David Montgomery,RB,64.13152,DET
835127,Chris Godwin,WR,64.32582,TB
733672,George Kittle,TE,65.72464,SF
1123398,Jayden Reed,WR,67.363556,GB
1326638,Xavier Worthy,WR,67.95041,KC
742390,James Conner,RB,69.13172,ARI
741314,Aaron Jones,RB,69.703026,MIN
879799,Kyler Murray,QB,71.00056,ARI
749185,Evan Engram,TE,73.74739,JAX
891115,Diontae Johnson,WR,74.78419,CAR
1322431,Keon Coleman,WR,75.46053,BUF
1110697,Zamir White,RB,76.6614,LV
1067918,Christian Watson,WR,77.61211,GB
1069808,D'Andre Swift,RB,78.61897,CHI
1174682,Rhamondre Stevenson,RB,79.53047,NE
606501,Raheem Mostert,RB,80.68627,MIA
1213727,Rome Odunze,WR,80.78804,CHI
878785,Joe Burrow,QB,80.79913,CIN
1065361,Jake Ferguson,TE,83.34033,DAL
976220,Hollywood Brown,WR,83.63749,KC
1175184,Jameson Williams,WR,83.87614,DET
591816,Dak Prescott,QB,85.62015,DAL
912137,Jordan Love,QB,85.789406,GB
1214087,Jaxon Smith-Njigba,WR,86.58994,SEA
1176443,Jaylen Warren,RB,87.429726,PIT
832098,David Njoku,TE,90.07767,CLE
973964,Najee Harris,RB,90.75508,PIT
821389,Curtis Samuel,WR,91.34924,BUF
1286064,Brian Thomas Jr.,WR,91.7684,JAX
1122653,Romeo Doubs,WR,93.64063,GB
880398,Tony Pollard,RB,93.892265,TEN
1161228,Jayden Daniels,QB,93.90591,WAS
1218643,Ladd McConkey,WR,94.11174,LAC
1285917,Brock Bowers,TE,97.40683,LV
1123379,Chase Brown,RB,97.760796,CIN
1286445,Caleb Williams,QB,100.19431,CHI
1121761,Brock Purdy,QB,101.593445,SF
838878,Courtland Sutton,WR,102.49221,DEN
913170,Zack Moss,RB,103.19292,CIN
1107881,Javonte Williams,RB,103.66474,DEN
1214250,Jordan Addison,WR,104.48436,MIN
560241,DeAndre Hopkins,WR,106.60683,TEN
1130603,Khalil Shakir,WR,107.10582,BUF
727837,Jared Goff,QB,107.37152,DET
790004,Austin Ekeler,RB,108.13045,WAS
916466,Devin Singletary,RB,108.26786,NYG
1059612,Joshua Palmer,WR,109.03874,LAC
973947,Tua Tagovailoa,QB,110.18518,MIA
1169430,Tyjae Spears,RB,111.48623,TEN
791365,Dallas Goedert,TE,112.389175,PHI
973966,Brian Robinson Jr.,RB,112.5538,WAS
1326601,Jonathon Brooks,RB,114.013626,CAR
607864,Brandin Cooks,WR,116.99176,DAL
1110711,Trevor Lawrence,QB,117.188126,JAX
822857,Nick Chubb,RB,117.47932,CLE
1125737,Jerome Ford,RB,117.641174,CLE
880151,Jakobi Meyers,WR,120.47239,LV
830523,Dalton Schultz,TE,122.21778,HOU
933480,Rico Dowdle,RB,122.739914,DAL
605242,Tyler Lockett,WR,123.51973,SEA
923412,Rashid Shaheed,WR,124.34815,NO
1172428,Dontayvion Wicks,WR,124.99509,GB
739799,Gus Edwards,RB,126.17244,LAC
1229540,Blake Corum,RB,126.24752,LAR
403308,Kirk Cousins,QB,128.75401,ATL
1116662,Pat Freiermuth,TE,130.78258,PIT
1248031,Trey Benson,RB,131.24371,ARI
728338,Ezekiel Elliott,RB,131.76828,DAL
976761,Gabe Davis,WR,131.78935,JAX
323205,Matthew Stafford,QB,134.06395,LAR
733754,Mike Williams,WR,134.24219,NYJ
1066765,Cole Kmet,TE,134.83475,CHI
1121878,Jahan Dotson,WR,136.02246,WAS
973935,Jerry Jeudy,WR,137.27385,CLE
976513,J.K. Dobbins,RB,140.27301,LAC
910562,Justin Herbert,QB,140.84012,LAC
1164530,Zach Charbonnet,RB,141.36964,SEA
733643,Adam Thielen,WR,142.73228,CAR
923915,T.J. Hockenson,TE,142.8383,MIN
748070,Baker Mayfield,QB,143.49364,TB
1062047,Chuba Hubbard,RB,143.79126,CAR
1213881,Ja'Lynn Polk,WR,145.08627,NE
503184,Taysom Hill,TE,145.65292,NO
213957,Aaron Rodgers,QB,146.19395,NYJ
1285908,Adonai Mitchell,WR,146.52881,IND
1059576,Ty Chandler,RB,146.7817,MIN
912027,Darnell Mooney,WR,149.44801,ATL
828743,Deshaun Watson,QB,149.59492,CLE
1131198,Tyler Allgeier,RB,150.02446,ATL
1179790,Luke Musgrave,TE,152.6863,GB
1286513,Jaylen Wright,RB,153.97813,MIA
1049263,Cade Otton,TE,155.06657,TB
1123529,Michael Wilson,WR,155.21956,ARI
1215077,Josh Downs,WR,158.44447,IND
513856,Geno Smith,QB,158.72478,SEA
1271738,Jaleel McLaughlin,RB,160.55269,DEN
1116663,Will Levis,QB,162.86617,TEN
1164875,Wan'Dale Robinson,WR,164.6912,NYG
1107826,Antonio Gibson,RB,166.2193,NE
1287923,Bucky Irving,RB,166.41895,TB
1161416,Ricky Pearsall,WR,167.3458,SF
1125111,Isaiah Likely,TE,167.73726,BAL
727279,Demarcus Robinson,WR,169.11005,LAR
744425,Hunter Henry,TE,170.18738,NE
1180321,Xavier Legette,WR,170.54785,CAR
1165229,Ray Davis,RB,171.78479,BUF
1110681,Justin Fields,QB,172.48734,PIT
861278,Tyler Conklin,TE,173.53398,NYJ
935104,Khalil Herbert,RB,173.92911,CHI
1066424,Jalen Tolbert,WR,174.09996,DAL
1325231,Braelon Allen,RB,174.19019,NYJ
1213414,MarShawn Lloyd,RB,174.9667,GB
1213865,Quentin Johnston,WR,175.91704,LAC
1108208,Rashod Bateman,WR,176.062,BAL
496083,Derek Carr,QB,177.39983,NO
1218631,Jermaine Burton,WR,178.57587,CIN
879981,Daniel Jones,QB,179.8789,NYG
1175693,DeMario Douglas,WR,181.84087,NE
1228920,Ben Sinnott,TE,183.1734,WAS
923911,Noah Fant,TE,184.64044,SEA
1213257,Bryce Young,QB,185.0768,CAR
1214824,Kimani Vidal,RB,186.84283,LAC
1213799,Marvin Mims Jr.,WR,188.0257,DEN
742387,Tyler Boyd,WR,188.4382,TEN
743749,Jonnu Smith,TE,189.03983,MIA
1109708,Tyrone Tracy Jr.,RB,189.71611,NYG
822008,DJ Chark,WR,190.86499,LAC
1161899,Bo Nix,QB,191.29361,DEN
1108998,Dameon Pierce,RB,192.35281,HOU
910852,Greg Dortch,WR,192.41574,ARI
1213726,Jalen McMillan,WR,193.2224,TB
880026,Sam Darnold,QB,193.47368,MIN
1106374,Chig Okonkwo,TE,197.02802,TEN
1050833,Elijah Mitchell,RB,197.96738,SF
836152,Mike Gesicki,TE,199.91927,CIN
1164846,Luke McCaffrey,WR,200.65598,WAS
1215291,Malachi Corley,WR,201.38979,NYJ
1213867,Kendre Miller,RB,201.7959,NO
1116001,Jordan Mason,RB,202.46552,SF
1163265,Roschon Johnson,RB,203.19493,CHI
401534,Russell Wilson,QB,204.78024,PIT
1124851,Andrei Iosivas,WR,205.72511,CIN
923109,Justice Hill,RB,207.36082,BAL
1060545,AJ Dillon,RB,207.88019,GB
1286803,Drake Maye,QB,208.21494,NE
1321291,Audric Estime,RB,208.94463,DEN
867009,Jauan Jennings,WR,208.94966,SF
884609,Juwan Johnson,TE,210.93819,NO
1215035,Tank Bigsby,RB,211.10487,JAX
1287636,Will Shipley,RB,213.32373,PHI
1060312,Colby Parkinson,TE,213.86147,LAR
1286176,Troy Franklin,WR,214.55077,DEN
1287599,J.J. McCarthy,QB,215.7855,MIN
1161798,Eric Gray,RB,215.96857,NYG
1229669,Roman Wilson,WR,216.27235,PIT
503177,Zach Ertz,TE,216.88623,WAS
1232892,Jalin Hyatt,WR,217.34467,NYG
1231136,Javon Baker,WR,217.93867,NE
867303,Gardner Minshew II,QB,218.44632,LV
1068724,Raheem Blackshear,RB,218.99997,CAR
746491,Zay Jones,WR,219.2302,ARI
1128085,Greg Dulcich,TE,220.16202,DEN
1163273,Jordan Whittington,WR,220.50336,LAR
884083,Dawson Knox,TE,221.07188,BUF
944343,Alexander Mattison,RB,221.96706,LV
880557,Darius Slayton,WR,222.61807,NYG
867759,Ray-Ray McCloud III,WR,223.13896,ATL
837958,Allen Lazard,WR,223.14091,NYJ
912070,Michael Gallup,WR,223.2626,FA
1122182,Dylan Laube,RB,223.59555,LV
822367,Josh Reynolds,WR,223.62318,DEN
835909,JuJu Smith-Schuster,WR,224.3087,NE
742382,Marquez Valdes-Scantling,WR,224.40985,BUF
1128783,Elijah Moore,WR,224.43378,CLE
973945,Mac Jones,QB,224.46773,JAX
884943,Trenton Irwin,WR,224.5762,CIN
1180328,Ainias Smith,WR,224.638,PHI
911644,Collin Johnson,WR,224.6697,CHI
976650,Clyde Edwards-Helaire,RB,224.69136,KC
835443,D'Onta Foreman,RB,224.7221,CLE
555693,Robert Woods,WR,224.7592,HOU
824080,Dalvin Cook,RB,224.7855,FA
943189,Trishton Jackson,WR,224.8958,MIN
1393832,Ryan Flournoy,WR,224.9643,DAL
976924,Kenny Pickett,QB,224.968,PHI
920756,Devin Duvernay,WR,225.0175,JAX
976251,Cam Akers,RB,225.0604,HOU
1160348,John Metchie III,WR,225.0735,HOU
820866,Braxton Berrios,WR,225.0878,MIA
25347,Tom Brady,QB,225.11415,FA
832220,Justin Watson,WR,225.15768,KC
883259,Nick Westbrook-Ikhine,WR,225.1626,TEN
1110725,Justyn Ross,WR,225.2251,KC
1214414,Theo Johnson,TE,225.23944,NYG
501150,Kyle Juszczyk,RB,225.24254,SF
1326628,Ja'Tavion Sanders,TE,225.25226,CAR
1167356,Craig Reynolds,RB,225.2754,DET
1106760,Tutu Atwell,WR,225.35872,LAR
1229074,Parker Washington,WR,225.3837,JAX
1213636,Xavier Hutchinson,WR,225.4483,HOU
1050234,Donovan Peoples-Jones,WR,225.4966,DET
1066811,Aidan O'Connell,QB,225.55646,LV
884080,Van Jefferson,WR,225.55737,PIT
865868,Jarrett Stidham,QB,225.58067,DEN
975503,Jelani Woods,TE,225.5825,IND
880146,Nyheim Hines,RB,225.5882,CLE
1222789,Keaton Mitchell,RB,225.666,BAL
922026,Mecole Hardman,WR,225.6695,KC
1130242,Luke Schoonmaker,TE,225.6966,DAL
1121050,Jake Bobo,WR,225.6993,SEA
1381164,Sione Vaki,RB,225.7171,DET
